Obèina,prebivalci
Ajdovšèina,19154
Ankaran/Ancarano,3216
Apaèe,3510
Beltinci,8159
Benedikt,2559
Bistrica ob Sotli,1350
Bled,7835
Bloke,1529
Bohinj,5103
Borovnica,4421
Bovec,3052
Braslovèe,5528
Brda,5613
Brezovica,12323
Brežice,24089
Cankova,1748
Celje,49538
Cerklje na Gorenjskem,7608
Cerknica,11502
Cerkno,4584
Cerkvenjak,2048
Cirkulane,2348
Èrenšovci,3958
Èrna na Koroškem,3301
Èrnomelj,14293
Destrnik,2583
Divaèa,4093
Dobje,962
Dobrepolje,3847
Dobrna,2221
Dobrova - Polhov Gradec,7623
Dobrovnik/Dobronak,1290
Dol pri Ljubljani,6131
Dolenjske Toplice,3471
Domžale,35917
Dornava,2897
Dravograd,8787
Duplek,6889
Gorenja vas - Poljane,7532
Gorišnica,4054
Gorje,2776
Gornja Radgona,8401
Gornji Grad,2535
Gornji Petrovci,1988
Grad,2093
Grosuplje,20855
Hajdina,3763
Hoèe - Slivnica,11561
Hodoš/Hodos,359
Horjul,3018
Hrastnik,9191
Hrpelje - Kozina,4426
Idrija,11730
Ig,7441
Ilirska Bistrica,13313
Ivanèna Gorica,16611
Izola/Isola,16099
Jesenice,20814
Jezersko,627
Juršinci,2364
Kamnik,29512
Kanal,5300
Kidrièevo,6480
Kobarid,4097
Kobilje,550
Koèevje,15681
Komen,3523
Komenda,6239
Koper/Capodistria,51828
Kostanjevica na Krki,2431
Kostel,648
Kozje,3049
Kranj,55795
Kranjska Gora,5219
Križevci,3574
Krško,25844
Kungota,4737
Kuzma,1564
Laško,13028
Lenart,8343
Lendava/Lendva,10407
Litija,15342
Ljubljana,289832
Ljubno,2558
Ljutomer,11329
Log - Dragomer,3681
Logatec,14048
Loška dolina,3739
Loški Potok,1830
Lovrenc na Pohorju,2998
Luèe,1481
Lukovica,5810
Majšperk,4028
Makole,2013
Maribor,110513
Markovci,4005
Medvode,16488
Mengeš,7976
Metlika,8345
Mežica,3548
Miklavž na Dravskem polju,6592
Miren - Kostanjevica,4885
Mirna,2588
Mirna Peè,2949
Mislinja,4557
Mokronog - Trebelno,3082
Moravèe,5354
Moravske Toplice,5813
Mozirje,4112
Murska Sobota,18752
Muta,3377
Naklo,5351
Nazarje,2600
Nova Gorica,31691
Novo mesto,36769
Odranci,1633
Oplotnica,4123
Ormož,12077
Osilnica,365
Pesnica,7307
Piran/Pirano,17613
Pivka,6112
Podèetrtek,3406
Podlehnik,1862
Podvelka,2354
Poljèane,4389
Polzela,6196
Postojna,16120
Prebold,5052
Preddvor,3659
Prevalje,6827
Ptuj,23214
Puconci,5917
Raèe - Fram,7292
Radeèe,4202
Radenci,5158
Radlje ob Dravi,6205
Radovljica,18902
Ravne na Koroškem,11241
Razkrižje,1274
Reèica ob Savinji,2279
Renèe - Vogrsko,4345
Ribnica,9424
Ribnica na Pohorju,1138
Rogaška Slatina,11070
Rogašovci,3068
Rogatec,3047
Ruše,7076
Selnica ob Dravi,4478
Semiè,3766
Sevnica,17502
Sežana,13287
Slovenj Gradec,16576
Slovenska Bistrica,25552
Slovenske Konjice,14912
Sodražica,2187
Solèava,520
Središèe ob Dravi,1970
Starše,3975
Straža,3897
Sveta Ana,2271
Sveta Trojica v Slov. goricah,2054
Sveti Andraž v Slov. goricah,1175
Sveti Jurij ob Šèavnici,2821
Sveti Jurij v Slov. goricah,2063
Sveti Tomaž,2019
Šalovci,1400
Šempeter - Vrtojba,6201
Šenèur,8600
Šentilj,8452
Šentjernej,7107
Šentjur,19030
Šentrupert,2900
Škocjan,3280
Škofja Loka,22991
Škofljica,11101
Šmarje pri Jelšah,10272
Šmarješke Toplice,3330
Šmartno ob Paki,3244
Šmartno pri Litiji,5575
Šoštanj,8693
Štore,4332
Tabor,1657
Tišina,3961
Tolmin,11108
Trbovlje,16041
Trebnje,12839
Trnovska vas,1363
Trzin,3880
Tržiè,14784
Turnišèe,3193
Velenje,32959
Velika Polana,1433
Velike Lašèe,4306
Veržej,1296
Videm,5568
Vipava,5593
Vitanje,2277
Vodice,4904
Vojnik,8797
Vransko,2609
Vrhnika,17071
Vuzenica,2692
Zagorje ob Savi,16476
Zavrè,1604
Zreèe,6422
Žalec,21317
Železniki,6694
Žetale,1301
Žiri,4874
Žirovnica,4404
Žužemberk,4631
